Player,Average_Points,Games_Played,Next_Year_Price,Year,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,last_year_avg_points,last_year_games,last_year_dnp_flag,3yr_avg_points,3yr_total_games,played_last_year,pre_dataset_coverage_flag,last_year_KI,last_year_MK,last_year_HB,last_year_DI,last_year_GL,last_year_BH,last_year_HO,last_year_TK,last_year_RB,last_year_IF,last_year_CL,last_year_CG,last_year_FF,last_year_FA,last_year_BR,last_year_CP,last_year_UP,last_year_CM,last_year_MI,last_year_1%,last_year_BO,last_year_GA,3yr_avg_KI,3yr_avg_MK,3yr_avg_HB,3yr_avg_DI,3yr_avg_GL,3yr_avg_BH,3yr_avg_HO,3yr_avg_TK,3yr_avg_RB,3yr_avg_IF,3yr_avg_CL,3yr_avg_CG,3yr_avg_FF,3yr_avg_FA,3yr_avg_BR,3yr_avg_CP,3yr_avg_UP,3yr_avg_CM,3yr_avg_MI,3yr_avg_1%,3yr_avg_BO,3yr_avg_GA,future_avg_points,label_available,value_score,breakout,teacher_prob
Nick_Bryan,,,623000,2024,,,,,,,,,,,,,,,,,,,,,,,54.9,8.0,0.0,55.76666666666667,14.0,1.0,0.0,5.38,2.5,3.63,9.0,0.13,0.25,17.63,1.38,0.88,1.63,1.25,1.38,0.63,0.25,0.0,4.75,3.88,1.13,0.5,3.13,0.0,0.38,5.06,2.433333333333333,4.276666666666666,9.333333333333334,0.11,0.15,15.276666666666666,2.3266666666666667,0.8933333333333334,1.0766666666666667,2.15,1.86,0.8766666666666666,0.6166666666666667,0.0,4.316666666666666,4.96,0.5099999999999999,0.3,2.2433333333333336,0.0,0.26,71.4,1.0,-21.023466750982283,0.0,0.3547754462445088
Marc_Pittonet,,,701000,2024,,,,,,,,,,,,,,,,,,,,,,,58.7,15.0,0.0,60.26666666666667,36.0,1.0,0.0,4.94,1.33,4.56,9.5,0.0,0.06,24.78,1.78,0.33,0.89,3.06,2.33,0.94,1.33,0.0,6.33,3.11,0.39,0.06,2.5,0.0,0.17,4.446666666666667,1.61,5.82,10.270000000000001,0.12666666666666668,0.19000000000000003,24.97666666666667,1.8533333333333335,0.7433333333333333,1.27,3.436666666666667,2.703333333333333,1.0833333333333333,1.5599999999999998,0.0,6.706666666666667,3.9133333333333327,0.36000000000000004,0.17333333333333334,2.77,0.0,0.13333333333333333,68.3,1.0,0.9756546878244303,0.0,0.35202493192204165
Lloyd_Meek,,,907000,2024,,,,,,,,,,,,,,,,,,,,,,,59.4,16.0,0.0,53.9,31.0,1.0,0.0,2.88,2.25,6.75,9.63,0.19,0.13,18.0,3.63,1.06,0.75,2.13,2.25,0.88,1.38,0.0,6.0,4.38,0.75,0.19,2.56,0.0,0.25,3.1799999999999997,1.86,6.786666666666666,9.97,0.21,0.11666666666666665,17.276666666666667,2.563333333333333,0.6666666666666666,0.77,2.486666666666667,2.73,1.1633333333333333,1.6466666666666665,0.0,6.426666666666667,4.403333333333333,0.64,0.19333333333333333,3.5400000000000005,0.0,0.08333333333333333,88.4,1.0,0.9901746135067985,0.0,0.3496347328430468
Connor_Budarick,,,709000,2024,,,,,,,,,,,,,,,,,,,,,,,73.5,2.0,0.0,65.60000000000001,13.0,1.0,0.0,14.5,5.0,3.0,17.5,0.0,0.0,0.0,2.5,4.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,10.5,0.0,0.0,2.0,0.5,0.0,11.926666666666668,5.13,3.5733333333333337,15.5,0.0,0.03666666666666667,0.0,2.313333333333333,3.3533333333333335,1.61,0.24,2.223333333333333,1.1666666666666667,1.0566666666666666,0.07333333333333333,3.926666666666667,9.536666666666667,0.14666666666666667,0.0,2.0933333333333333,0.20333333333333334,0.16666666666666666,61.3,1.0,-0.0010174672517550187,0.0,0.34855729365267873
Xavier_O'Halloran,,,488000,2024,,,,,,,,,,,,,,,,,,,,,,,60.9,12.0,0.0,50.93333333333334,40.0,1.0,0.0,6.87,2.07,5.53,12.4,0.73,0.53,0.0,2.87,0.4,3.13,0.47,3.2,0.67,0.87,0.0,5.13,7.87,0.2,0.53,1.2,0.0,0.33,6.816666666666666,2.346666666666667,4.25,11.066666666666668,0.36333333333333334,0.30666666666666664,0.0,1.9566666666666668,0.73,2.526666666666667,0.6433333333333332,2.2933333333333334,0.5166666666666666,0.59,0.0,3.9033333333333338,7.466666666666666,0.11,0.2833333333333334,1.1366666666666667,0.04666666666666667,0.2733333333333334,47.6,1.0,0.9995544320447937,0.0,0.34850518904383815
Matthew_Cottrell,,,512000,2024,,,,,,,,,,,,,,,,,,,,,,,62.3,14.0,0.0,59.76666666666667,44.0,1.0,0.0,9.41,4.24,4.59,14.0,0.65,0.65,0.0,2.0,1.24,2.53,0.65,1.82,0.53,0.29,0.0,4.59,9.41,0.18,0.65,1.18,0.12,0.29,8.89,3.606666666666667,4.6499999999999995,13.54,0.4533333333333333,0.3,0.0,1.9966666666666668,1.3233333333333333,2.233333333333333,0.61,2.14,0.4633333333333334,0.4033333333333333,0.0,4.316666666666666,9.193333333333333,0.20000000000000004,0.4166666666666667,1.3,0.20333333333333334,0.29,49.9,1.0,1.0041042802543128,0.0,0.3465653766913284
Mitch_Georgiades,,,652000,2024,,,,,,,,,,,,,,,,,,,,,,,61.5,2.0,0.0,56.699999999999996,42.0,1.0,0.0,9.0,6.0,4.5,13.5,1.0,2.5,0.0,1.0,0.0,2.0,0.0,3.5,1.0,2.0,0.0,4.5,9.5,0.5,3.0,0.0,0.0,0.5,7.196666666666666,5.056666666666667,4.196666666666666,11.393333333333333,1.2433333333333334,1.5233333333333334,0.0,1.6233333333333333,0.03333333333333333,1.7266666666666666,0.05333333333333334,3.14,0.8733333333333334,1.6166666666666665,0.016666666666666666,4.526666666666666,7.103333333333333,1.0533333333333335,2.436666666666667,0.8233333333333333,0.12333333333333334,0.33,63.5,1.0,0.927649527340677,0.0,0.3420627596818336
Brady_Hough,,,600000,2024,,,,,,,,,,,,,,,,,,,,,,,61.5,15.0,0.0,56.15,30.0,1.0,0.0,9.2,5.67,5.87,15.07,0.0,0.0,0.0,1.27,1.93,0.87,0.4,1.27,0.87,0.27,0.0,3.47,11.33,0.33,0.07,1.6,0.0,0.07,8.835,5.3,4.9,13.735,0.0,0.1,0.0,1.1,1.83,1.37,0.365,1.7,0.635,0.4,0.0,2.935,10.6,0.23,0.1,1.1,0.065,0.2,58.5,1.0,1.0268209727606554,0.0,0.3418576834556368
Elijah_Tsatas,,,600000,2024,,,,,,,,,,,,,,,,,,,,,,,64.3,4.0,0.0,64.3,4.0,1.0,0.0,8.75,3.75,7.5,16.25,0.25,0.5,0.0,2.75,0.75,1.5,1.75,1.75,0.25,0.5,0.0,4.25,11.5,0.25,0.25,0.25,0.0,0.0,8.75,3.75,7.5,16.25,0.25,0.5,0.0,2.75,0.75,1.5,1.75,1.75,0.25,0.5,0.0,4.25,11.5,0.25,0.25,0.25,0.0,0.0,36.7,1.0,8.998325157125915,1.0,0.33938894085151655
Henry_Hustwaite,,,526000,2024,,,,,,,,,,,,,,,,,,,,,,,62.5,2.0,0.0,62.5,2.0,1.0,0.0,5.0,2.5,9.0,14.0,1.0,0.0,0.0,4.0,0.5,0.0,1.5,1.5,1.5,0.5,0.0,5.5,8.5,0.5,0.5,1.0,0.0,0.0,5.0,2.5,9.0,14.0,1.0,0.0,0.0,4.0,0.5,0.0,1.5,1.5,1.5,0.5,0.0,5.5,8.5,0.5,0.5,1.0,0.0,0.0,22.8,1.0,3.8550392730181944,1.0,0.3393288205823271
Tom_Cole,,,656000,2024,,,,,,,,,,,,,,,,,,,,,,,65.9,12.0,0.0,61.1,34.0,1.0,0.0,9.0,5.58,7.17,16.17,0.08,0.0,0.0,2.42,2.83,1.17,0.42,2.58,0.67,1.0,0.0,4.5,12.5,0.17,0.08,1.67,0.17,0.08,9.115,5.175,5.8100000000000005,14.925,0.04,0.0,0.0,2.21,2.44,1.1549999999999998,0.39,2.495,0.655,1.045,0.0,3.885,11.295,0.245,0.04,2.175,0.13,0.13,64.0,1.0,0.9771041040921848,0.0,0.3379810811091453
Lachlan_Bramble,,,704000,2024,,,,,,,,,,,,,,,,,,,,,,,62.2,11.0,0.0,63.46666666666667,30.0,1.0,0.0,10.91,4.18,5.64,16.55,0.09,0.27,0.0,1.27,2.45,2.09,0.73,2.45,0.27,0.18,0.0,3.55,11.73,0.18,0.0,0.82,1.55,0.27,10.826666666666666,3.7866666666666666,5.903333333333333,16.72666666666667,0.06333333333333334,0.30000000000000004,0.0,1.8333333333333333,2.9200000000000004,2.4066666666666667,0.6733333333333333,1.9400000000000002,0.5833333333333334,0.30666666666666664,0.0,3.903333333333333,11.316666666666668,0.16333333333333333,0.10333333333333333,1.36,1.3266666666666669,0.51,68.7,1.0,0.990810182299569,0.0,0.33697393614491883
